name,pred
Uria-aalge_muir_cc-by_24967_0.jpeg,35
Uria-aalge_jmaughn_cc-by-nc_106492_0.jpeg,20
Uria-aalge_elizabethb_cc-by-nc_362706_1.jpeg,8
Uria-aalge_msr_cc-by-nc_98645_0.jpeg,17
Uria-aalge_missysiders_cc-by-nc_344776_0.jpeg,32
Uria-aalge_elizabethb_cc-by-nc_362706_0.jpeg,24
Uria-aalge_finatic_cc-by-nc_165445_0.jpeg,22
Uria-aalge_dpom_cc-by-nc_258413_0.jpeg,34
Uria-aalge_finatic_cc-by-nc_206373_0.jpeg,33
Uria-aalge_finatic_cc-by-nc_167067_0.jpeg,9
Uria-aalge_tsoleau_none_141002_0.jpeg,28
Uria-aalge_greenrosettas_cc-by-nc_128305_2.jpeg,36
Uria-aalge_dloarie_cc-by_110230_0.jpeg,29
Uria-aalge_pbedell_cc-by-sa_191539_0.jpeg,11
Uria-aalge_jmaughn_cc-by-nc_307958_0.jpeg,38
Uria-aalge_seakay_cc-by-nc-sa_210566_0.jpeg,38
Uria-aalge_finatic_cc-by-nc_206369_0.jpeg,27
Uria-aalge_loarie_cc0_31600_0.jpeg,24
Uria-aalge_j_mcgowan_cc-by-nc_336217_0.jpeg,8
Uria-aalge_sea-kangaroo_cc-by_52891_0.jpeg,40
Uria-aalge_finatic_cc-by-nc_164365_0.jpeg,20
Uria-aalge_finatic_cc-by-nc_165494_0.jpeg,14
Uria-aalge_finatic_cc-by-nc_201924_0.jpeg,9
Uria-aalge_circatari_none_55270_0.jpeg,13
Uria-aalge_finatic_cc-by-nc_167232_0.jpeg,32
Uria-aalge_ellen2_none_29064_1.jpeg,10
Uria-aalge_maractwin_cc-by_316716_0.jpeg,26
Uria-aalge_greenrosettas_cc-by-nc_128305_0.jpeg,27
Uria-aalge_gyrrlfalcon_cc-by-nc_199930_0.jpeg,21
Uria-aalge_pierre_t_cc-by_41448_0.jpeg,40
Uria-aalge_muir_cc-by_115199_0.jpeg,25
Uria-aalge_finatic_cc-by-nc_212983_0.jpeg,34
Uria-aalge_finatic_cc-by-nc_167066_0.jpeg,28
Uria-aalge_muir_cc-by_115199_1.jpeg,20
Uria-aalge_jay_cc-by-nc_134876_0.jpeg,17
Uria-aalge_finatic_cc-by-nc_219149_0.jpeg,6
Uria-aalge_greenrosettas_cc-by-nc_128305_1.jpeg,33
Uria-aalge_ellen2_none_29064_0.jpeg,14
